rank,prev_rank,name,league,off,def,spi
318,390,Colorado Rapids,Major League Soccer,1.39,1.71,39.06
319,314,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
320,317,Hartberg,Austrian T-Mobile Bundesliga,1.41,1.74,38.99
321,300,Minnesota United FC,Major League Soccer,1.31,1.63,38.98
322,315,Belenenses,Portuguese Liga,1.07,1.34,38.98
323,355,Odense BK,Danish SAS-Ligaen,1.22,1.52,38.86
324,319,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
325,320,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.2,1.51,38.57
326,321,Henan Jianye,Chinese Super League,1.25,1.57,38.55
327,332,New England Revolution,Major League Soccer,1.24,1.56,38.43
328,341,Troyes,French Ligue 2,1.05,1.34,38.4
329,335,FC Dallas,Major League Soccer,1.25,1.59,38.27
330,324,Konyaspor,Turkish Turkcell Super Lig,1.16,1.49,38.26
331,369,Caen,French Ligue 2,1.1,1.41,38.25
332,331,Toluca,Mexican Primera Division Torneo Apertura,1.27,1.62,38.18
333,328,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
334,329,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
335,334,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.2,1.53,38.07
336,359,New York Red Bulls,Major League Soccer,1.23,1.58,38.06
337,308,KV Mechelen,Belgian Jupiler League,1.23,1.58,38.02
338,330,Almeria,Spanish Segunda Division,1.09,1.4,37.99
339,354,Vissel Kobe,Japanese J League,1.41,1.8,37.97
340,333,Huracán,Argentina Primera Division,0.95,1.24,37.93
341,357,Atlas,Mexican Primera Division Torneo Apertura,1.06,1.38,37.89
342,325,Houston Dynamo,Major League Soccer,1.29,1.66,37.84
343,529,Wycombe Wanderers,English League Championship,1.11,1.46,37.67
344,364,FC Twente,Dutch Eredivisie,1.21,1.58,37.65
345,336,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
346,340,Sanfrecce Hiroshima,Japanese J League,1.07,1.41,37.55
347,313,SV Zulte Waregem,Belgian Jupiler League,1.25,1.63,37.52
348,318,FC Khimki,Russian Premier Liga,1.1,1.45,37.52
349,358,Kashiwa Reysol,Japanese J League,1.3,1.69,37.49
350,342,FC Sion,Swiss Raiffeisen Super League,1.1,1.45,37.48
351,345,FK Volgograd,Russian Premier Liga,1.07,1.42,37.32
352,337,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.12,1.48,37.32
353,349,Atromitos,Greek Super League,1.0,1.33,37.25
354,353,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
355,362,Portland Timbers,Major League Soccer,1.43,1.86,37.15
356,389,Randers FC,Danish SAS-Ligaen,1.2,1.58,37.1
357,395,1. FC Nürnberg,German 2. Bundesliga,1.15,1.53,36.96
358,405,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.19,1.59,36.86
359,350,St. Truidense,Belgian Jupiler League,1.16,1.56,36.7
360,360,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
361,339,PEC Zwolle,Dutch Eredivisie,1.28,1.72,36.52
362,365,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
363,311,SV Sandhausen,German 2. Bundesliga,1.19,1.62,36.35
364,363,Las Palmas,Spanish Segunda Division,0.99,1.38,36.07
365,326,Mouscron-Peruwelz,Belgian Jupiler League,1.07,1.49,36.0
366,375,Tenerife,Spanish Segunda Division,1.0,1.39,36.0
367,368,Puebla,Mexican Primera Division Torneo Apertura,1.05,1.46,35.93
368,356,SV Darmstadt 98,German 2. Bundesliga,1.13,1.56,35.9
369,373,SV Ried,Austrian T-Mobile Bundesliga,1.16,1.6,35.88
370,399,Le Havre,French Ligue 2,1.0,1.41,35.75
371,343,Guingamp,French Ligue 2,1.14,1.59,35.69
372,346,Real Salt Lake,Major League Soccer,1.08,1.52,35.51
373,366,Nagoya Grampus Eight,Japanese J League,1.12,1.57,35.47
374,379,Fuenlabrada,Spanish Segunda Division,0.95,1.35,35.42
375,376,Melbourne City,Australian A-League,1.17,1.64,35.39
376,372,Caykur Rizespor,Turkish Turkcell Super Lig,1.15,1.62,35.38
377,384,IF Elfsborg,Swedish Allsvenskan,1.22,1.7,35.32
378,388,Sporting Gijón,Spanish Segunda Division,0.87,1.26,35.32
379,406,Hatayspor,Turkish Turkcell Super Lig,1.09,1.54,35.29
380,380,Sydney FC,Australian A-League,1.12,1.58,35.2
381,381,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
382,391,Holstein Kiel,German 2. Bundesliga,1.23,1.72,35.12
383,383,FC Zurich,Swiss Raiffeisen Super League,1.22,1.73,35.07
384,423,Sunderland,English League One,1.05,1.51,34.99
385,394,Clermont Foot,French Ligue 2,0.93,1.36,34.92
386,385,OFI Crete,Greek Super League,1.06,1.52,34.85
387,386,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
388,327,Gamba Osaka,Japanese J League,1.14,1.64,34.69
389,387,1. FC Heidenheim 1846,German 2. Bundesliga,1.04,1.53,34.37
390,361,Málaga,Spanish Segunda Division,0.8,1.22,34.35
391,392,Lausanne Sports,Swiss Raiffeisen Super League,1.08,1.58,34.28
392,396,Aberdeen,Scottish Premiership,0.98,1.45,34.27
393,421,Hibernian,Scottish Premiership,1.06,1.56,34.21
394,378,Kristiansund BK,Norwegian Tippeligaen,1.31,1.9,33.98
395,347,San Jose Earthquakes,Major League Soccer,1.29,1.87,33.98
396,425,VVV Venlo,Dutch Eredivisie,1.18,1.73,33.97
397,374,Odd BK,Norwegian Tippeligaen,1.18,1.74,33.76
398,400,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
399,401,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
400,402,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
401,409,OH Leuven,Belgian Jupiler League,1.06,1.59,33.6
402,370,Emmen,Dutch Eredivisie,1.22,1.8,33.58
403,435,Pittsburgh Riverhounds,United Soccer League,1.08,1.63,33.52
404,398,St. Pölten,Austrian T-Mobile Bundesliga,1.08,1.63,33.51
405,403,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
406,418,Eupen,Belgian Jupiler League,1.04,1.58,33.34
407,436,Fatih Karagümrük,Turkish Turkcell Super Lig,1.04,1.59,33.26
408,413,Kayserispor,Turkish Turkcell Super Lig,1.13,1.7,33.12
409,441,VfL Bochum,German 2. Bundesliga,1.07,1.63,33.12
